ID,Valence,Arousal,Freq,CNC,IMG,Word
1,4.77,5.05,6,586,548,ABDOMEN
2,3.14,6.53,13,443,443,ACID
3,5.47,4.04,1,290,316,ACORN
4,6.01,5.99,1,566,583,ACROBAT
5,5.76,5.6,24,0,436,ACTOR
6,6.09,5.45,6,0,436,ACTRESS
7,5.17,5.43,12,267,467,ADOLESCENT
8,5.77,5.4,25,492,526,ADULT
9,5.47,5.54,45,336,451,AFRICA
10,4.9,5.54,44,426,366,AGENT
11,5.7,6.2,70,518,450,AIRCRAFT
12,5.68,6.15,11,518,450,AIRPLANE
13,5.37,6.26,19,518,450,AIRPORT
14,6.06,4.4,6,621,583,ALBUM
15,4.6,5.55,8,557,572,ALLEY
16,4.27,6.68,4,624,627,ALLIGATOR
17,5.67,4.39,1,485,453,ALMANAC
18,6.15,4.43,1,485,453,ALMOND
19,3.91,7.1,6,595,627,AMBULANCE
20,6.07,4.73,7,0,303,ANCESTOR
21,5.12,4.36,15,595,561,ANCHOR
22,7.13,4.05,18,399,554,ANGEL
23,6.35,5.14,68,587,575,ANIMAL
24,5.23,4.53,8,608,613,ANKLE
25,4.04,5.18,6,604,613,ANT
26,4.99,5.16,1,288,378,ANTEATER
27,5.81,4.56,7,288,378,ANTELOPE
28,5.19,4.78,13,288,378,ANTENNA
29,5.22,5.05,3,531,388,ANTLER
30,5.35,4.67,81,575,556,APARTMENT
31,5.51,5.87,3,654,616,APE
32,4.83,5.14,1,358,425,APPENDAGE
33,6.86,4.54,9,620,637,APPLE
34,5.05,5.24,68,558,554,APPLICATION
35,5.29,4.07,7,0,565,APRON
36,5.79,5.1,22,470,550,ARCHITECT
37,5.51,5.89,7,384,394,ARENA
38,5.44,4.61,94,592,593,ARM
39,4.76,6.64,132,543,578,ARMY
40,5.17,5.83,14,595,619,ARROW
41,4.82,5.61,46,440,493,ARTERY
42,5.4,4.81,68,479,421,ARTICLE
43,6.53,4.91,57,554,600,ARTIST
44,3.93,4.77,11,583,553,ASH
45,3.08,5.23,6,351,395,ASHTRAY
46,5.96,5.44,44,351,395,ASIA
47,5.5,4.77,3,574,542,ASPIRIN
48,5.56,4.88,36,288,348,ASSISTANT
49,5.26,4.79,21,288,348,ASSOCIATE
50,4.89,6.51,1,447,224,ASTEROID
51,6.58,5.96,2,391,150,ASTRONAUT
52,6.06,5.89,9,545,591,ATHLETE
53,5.89,4.82,12,437,551,ATLAS
54,5.97,4.4,79,385,444,ATMOSPHERE
55,5.59,5.22,37,481,499,ATOM
56,5.05,4.77,16,0,352,ATTIC
57,5.57,4.75,6,0,352,ATTIRE
58,4.22,6.24,65,265,321,ATTORNEY
59,5.53,5.78,115,515,555,AUDIENCE
60,6.39,4.35,22,564,567,AUNT
61,5.98,4.51,46,502,460,AUTHOR
62,5.9,5.67,50,607,628,AUTOMOBILE
63,6.92,6.1,46,0,293,AWARD
64,6.69,4.84,62,589,608,BABY
65,4.96,4.77,967,540,483,BACK
66,5.47,5.13,4,540,483,BACKBONE
67,6.77,5.67,10,383,427,BACON
68,5.16,5.53,5,561,519,BADGE
69,5.39,4.47,42,603,570,BAG
70,4.46,5.34,2,441,480,BAIT
71,6.25,4.11,36,0,495,BAKER
72,6.1,4.37,5,366,429,BALCONY
73,5.86,5.02,110,615,622,BALL
74,6.35,4.82,1,615,622,BALLERINA
75,6.43,4.28,10,623,583,BALLOON
76,5.21,5.22,12,455,437,BALLOT
77,6.68,4.45,4,633,644,BANANA
78,6.2,5.52,53,590,579,BAND
79,4.25,5.47,4,639,554,BANDAGE
80,5.26,4.5,1,639,554,BANDANNA
81,3.14,6.81,3,547,562,BANDIT
82,5.91,5.09,2,435,470,BANJO
83,5.22,5.48,83,573,560,BANK
84,4.54,5.44,5,547,565,BANKER
85,5.47,4.73,8,567,569,BANNER
86,6.3,5.33,6,567,569,BANQUET
87,4.63,5.65,14,563,539,BARK
88,5.34,4.12,6,563,539,BARLEY
89,5.68,3.98,29,614,589,BARN
90,4.05,6.59,3,513,498,BARRACUDA
91,5.12,4.51,24,590,602,BARREL
92,5.71,5.35,6,590,602,BARTENDER
93,5.88,5.26,57,441,436,BASEBALL
94,4.98,4.67,31,585,571,BASEMENT
95,5.6,4.22,17,606,560,BASKET
96,5.85,5.56,9,606,560,BASKETBALL
97,5.61,4.11,1,547,544,BASSINET
98,6.44,3.11,26,600,601,BATH
99,5.04,4.52,18,600,601,BATHROOM
100,6.05,3.22,4,600,601,BATHTUB
101,5.18,5.31,18,570,516,BATTERY
102,6.12,3.54,57,580,570,BAY
103,5.51,4.52,1,612,667,BEAD
104,5.26,4.86,2,552,574,BEAKER
105,5.63,4.39,5,604,538,BEAN
106,5.28,6.78,57,585,572,BEAR
107,5.11,4.97,26,580,630,BEARD
108,3.79,6.69,7,564,558,BEAST
109,5.56,4.91,3,589,612,BEAVER
110,6.91,3.05,127,635,635,BED
111,6.45,3.93,52,615,629,BEDROOM
112,4.32,6.32,11,597,623,BEE
113,5.93,5.32,32,637,625,BEEF
114,5.71,5.28,34,587,598,BEER
115,4.55,4.42,1,645,555,BEET
116,4.15,5.51,1,619,640,BEETLE
117,3.32,5.82,2,533,593,BEGGAR
118,5.8,5.09,18,620,610,BELL
119,4.83,4.9,23,630,576,BELLY
120,5.04,4.81,29,602,494,BELT
121,5.46,4.06,35,614,555,BENCH
122,6.82,4.4,9,573,551,BERRY
123,6.52,4.54,5,526,565,BEVERAGE
124,4.8,4.23,59,585,594,BIBLE
125,6.24,5.21,1,0,463,BIKE
126,3.9,5.75,143,528,535,BILL
127,5.01,4.51,1,598,562,BINDER
128,5.93,5.12,2,598,562,BIOLOGIST
129,6.44,4.31,31,602,614,BIRD
130,6.28,4.17,2,574,571,BISCUIT
131,5.55,5.03,1,0,541,BISON
132,6.47,4.53,3,470,589,BLACKBERRY
133,5.16,4.64,2,470,589,BLACKBOARD
134,4.42,6.53,13,584,568,BLADE
135,6.47,2.74,30,622,582,BLANKET
136,5.53,5.16,4,307,435,BLENDER
137,3.83,6.21,16,558,483,BLOCKADE
138,6.89,3.84,7,559,618,BLOSSOM
139,5.89,4.64,1,640,595,BLOUSE
140,6.89,4.35,1,621,605,BLUEBERRY
141,6.54,4.38,1,621,605,BLUEJAY
142,5.48,4.72,1,621,605,BLUEPRINT
143,5.12,4.37,239,565,592,BOARD
144,6.26,4.52,72,637,631,BOAT
145,5.66,5.56,276,568,614,BODY
146,4.94,5.37,10,556,551,BOLT
147,2.25,7.5,36,595,606,BOMB
148,4.87,5.13,33,588,567,BONE
149,6.98,3.83,193,609,591,BOOK
150,5.27,4.7,13,595,604,BOOT
151,5.25,4.52,7,556,486,BOOTH
152,4.39,6.14,20,552,554,BOSS
153,5.45,4.56,76,591,619,BOTTLE
154,5.5,4.38,1,0,436,BOUILLON
155,4.93,4.69,10,597,614,BOULDER
156,5.52,4.6,11,597,614,BOULEVARD
157,6.55,4.14,4,566,599,BOUQUET
158,5.51,4.21,23,575,579,BOWL
159,5.17,4.57,70,597,591,BOX
160,5.02,6.37,1,597,591,BOXER
161,6.01,4.76,242,609,618,BOY
162,6.3,5.77,2,609,618,BOYFRIEND
163,6.03,4.82,1,602,606,BRACELET
164,3.97,5.15,4,602,606,BRACES
165,6.34,5.58,45,556,572,BRAIN
